id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1147,Hardly any,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Married,Lt high school,Below average,Not str democrat,Too much,Not applicable,Clinton
1148,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,36,Private,Never married,High school,Average,Not str democrat,Not applicable,Too much,Not applicable
1149,A great deal,Hardly any,Hardly any,Only some,Yes,No,Not applicable,Agree,Oppose,Favor,60,Private,Divorced,Lt high school,Far below average,Independent,About right,Not applicable,Not applicable
1150,Hardly any,Only some,Hardly any,Only some,Yes,Not applicable,Disagree,Disagree,Not applicable,Favor,89,Private,Never married,Bachelor,Average,Not str democrat,Not applicable,Too little,Clinton
1151,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,Not applicable,Private,Married,Lt high school,Below average,Independent,Too much,Not applicable,Trump
1152,Only some,Only some,Hardly any,A great deal,No,Yes,Not applicable,Agree,Favor,No answer,Not applicable,Government,Widowed,High school,Above average,"Ind,near dem",Not applicable,Too much,Not applicable
1153,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Agree,Not applicable,Not applicable,Favor,Not applicable,Government,Married,Graduate,Far below average,Not str republican,Too much,Not applicable,Trump
1154,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,40,Private,Married,High school,Below average,Strong democrat,Not applicable,Too much,Clinton
1155,Hardly any,Only some,Hardly any,Only some,No,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Favor,40,Private,Never married,High school,Below average,Independent,Not applicable,Too little,Clinton
1156,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,32,Private,Divorced,Bachelor,Below average,"Ind,near dem",Don't know,Not applicable,Clinton
1157,Only some,Only some,Hardly any,Only some,Yes,No,Not applicable,Strongly disagree,Oppose,Oppose,33,Private,Never married,High school,Below average,Other party,Not applicable,Too much,Clinton
1158,Only some,Only some,Only some,A great deal,No,Not applicable,Agree,Not applicable,Not applicable,Favor,40,Private,Married,Junior college,Average,Strong republican,About right,Not applicable,Trump
1159,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,Not applicable,Private,Divorced,High school,Average,Strong democrat,Too little,Not applicable,Clinton
1160,A great deal,Hardly any,Hardly any,A great deal,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,2,Government,Married,Bachelor,Below average,Strong republican,Too much,Not applicable,Trump
1161,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Oppose,Oppose,Not applicable,Not applicable,Never married,Lt high school,Above average,"Ind,near rep",Too much,Not applicable,Not applicable
1162,Only some,Only some,Hardly any,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Married,High school,Above average,Strong democrat,Too little,Not applicable,Clinton
1163,Only some,A great deal,Hardly any,Only some,No,Not applicable,Disagree,Disagree,Not applicable,Favor,Not applicable,Private,Married,High school,Average,"Ind,near dem",Not applicable,About right,Clinton
1164,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Oppose,Favor,1,Government,Married,Graduate,Average,Strong republican,About right,Not applicable,Trump
1165,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Agree,Oppose,Favor,50,Don't know,Married,Bachelor,Average,Other party,Not applicable,About right,Trump
1166,A great deal,A great deal,Only some,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Widowed,Bachelor,Far below average,Strong democrat,Too little,Not applicable,Clinton
1167,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,Not applicable,Private,Divorced,Bachelor,Average,Not str republican,Not applicable,About right,Trump
1168,Only some,Hardly any,Hardly any,A great deal,Yes,Not applicable,Agree,Agree,Not applicable,Favor,Not applicable,Private,Married,High school,Average,Not str democrat,Not applicable,Too little,Trump
1169,Only some,Hardly any,Hardly any,A great deal,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Married,High school,Average,Not str republican,Not applicable,Too much,Trump
1170,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,50,Private,Married,Bachelor,Below average,"Ind,near rep",Not applicable,Too much,Not applicable
1171,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,3,Private,Widowed,Bachelor,Below average,Independent,Too much,Not applicable,Trump
1172,Only some,Only some,Don't know,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Oppose,40,Private,Never married,High school,Don't know,Not str democrat,Don't know,Not applicable,Not applicable
1173,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,Not applicable,Private,Divorced,High school,Below average,Independent,Not applicable,Too much,Not applicable
1174,Only some,Hardly any,Hardly any,Only some,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,50,Government,Married,Bachelor,Far above average,Not str democrat,Don't know,Not applicable,Clinton
1175,Only some,Only some,Only some,A great deal,Yes,Not applicable,Strongly disagree,Agree,Not applicable,Favor,42,Private,Widowed,Bachelor,Don't know,"Ind,near dem",Not applicable,Too much,Clinton
1176,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,Not applicable,Private,Married,High school,Below average,Not str republican,Too much,Not applicable,Didn't vote for president
1177,Only some,Only some,Only some,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,40,Private,Married,High school,Average,Independent,Too little,Not applicable,Other candidate (specify)
1178,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Widowed,High school,Above average,"Ind,near dem",Not applicable,About right,Other candidate (specify)
1179,Only some,A great deal,Hardly any,A great deal,Yes,Yes,Not applicable,Strongly agree,Oppose,Favor,Not applicable,Private,Never married,High school,Below average,"Ind,near rep",Too much,Not applicable,Clinton
1180,Hardly any,Hardly any,Hardly any,Hardly any,No,Not applicable,Disagree,Strongly agree,Not applicable,Oppose,Not applicable,Private,Divorced,High school,Below average,Not str democrat,Not applicable,Too much,Clinton
1181,Hardly any,Only some,Hardly any,Hardly any,Yes,No,Not applicable,Neither agree nor disagree,Oppose,No answer,62,Private,Married,High school,Below average,Not str democrat,Not applicable,Too much,Clinton
1182,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Favor,22,Private,Never married,High school,Below average,Not str republican,Not applicable,About right,Trump
1183,Only some,Hardly any,Only some,A great deal,No,Yes,Not applicable,Disagree,Oppose,Favor,40,Private,Married,High school,Average,Strong republican,About right,Not applicable,Trump
1184,Hardly any,Only some,A great deal,Only some,No,Not applicable,Agree,Strongly agree,Not applicable,Oppose,Not applicable,Private,Married,Lt high school,Don't know,"Ind,near dem",Not applicable,About right,Clinton
1185,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Married,Bachelor,Far below average,Not str republican,Not applicable,About right,Not applicable
1186,A great deal,Only some,Hardly any,Hardly any,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,Not applicable,Private,Married,Graduate,Average,"Ind,near dem",About right,Not applicable,Clinton
1187,Only some,Hardly any,Only some,A great deal,No,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Favor,Not applicable,Private,Married,Junior college,Far above average,"Ind,near rep",Not applicable,Too little,Trump
1188,Only some,Only some,Hardly any,Only some,No,Yes,Not applicable,Disagree,Favor,Favor,Not applicable,Private,Widowed,High school,Far below average,Strong democrat,Not applicable,About right,Clinton
1189,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,10,Private,Married,High school,Average,Strong republican,Too much,Not applicable,Trump
1190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,38,Private,Married,Bachelor,Far above average,Strong republican,Not applicable,About right,Trump
1191,Only some,Only some,Only some,A great deal,No,No,Not applicable,Neither agree nor disagree,Oppose,Oppose,24,Private,Married,Junior college,Below average,Strong republican,About right,Not applicable,Trump
1192,Only some,Hardly any,Only some,A great deal,No,Not applicable,Agree,Strongly agree,Not applicable,Favor,Not applicable,Private,Divorced,High school,Far below average,Strong republican,Not applicable,About right,Trump
1193,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Don't know,30,Private,Never married,High school,Average,"Ind,near rep",Not applicable,About right,Trump
1194,Hardly any,Hardly any,Hardly any,Only some,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Widowed,Lt high school,Don't know,Strong democrat,Too much,Not applicable,Clinton
1195,Only some,Hardly any,Only some,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Married,Graduate,Average,"Ind,near rep",Not applicable,Too little,Trump
1196,A great deal,Hardly any,Only some,A great deal,No,Yes,Not applicable,Agree,Oppose,Favor,Not applicable,Government,Married,High school,Below average,"Ind,near rep",Not applicable,Too little,Trump
1197,Only some,A great deal,Hardly any,Only some,No,Yes,Not applicable,Strongly agree,Favor,Oppose,40,Private,Divorced,Bachelor,Average,"Ind,near dem",Too little,Not applicable,Other candidate (specify)
1198,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,Not applicable,Private,Married,High school,Above average,Strong republican,Too much,Not applicable,Trump
1199,Only some,Hardly any,Hardly any,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Don't know,Not applicable,Government,Married,Bachelor,Above average,Not str democrat,Not applicable,Too little,Clinton
1200,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Oppose,39,Private,Separated,Lt high school,Below average,Independent,Not applicable,Too much,No answer
1201,Only some,Only some,Only some,Only some,Yes,No,Not applicable,Agree,Favor,Favor,48,Private,Married,High school,Average,"Ind,near dem",About right,Not applicable,Don't know
1202,A great deal,A great deal,Only some,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,50,Private,Married,Graduate,Above average,"Ind,near dem",Not applicable,About right,Not applicable
1203,A great deal,Only some,Only some,A great deal,No,Yes,Not applicable,Disagree,Favor,Favor,Not applicable,Government,Married,Bachelor,Average,Independent,Not applicable,About right,Other candidate (specify)
1204,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,Not applicable,Government,Married,Bachelor,Far below average,Not str republican,Not applicable,About right,Other candidate (specify)
1205,Only some,Don't know,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,Not applicable,Private,Widowed,High school,Average,Strong democrat,Too much,Not applicable,Clinton
1206,Only some,Only some,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Oppose,Not applicable,Don't know,Never married,Graduate,Above average,Strong democrat,Not applicable,Too much,Clinton
1207,A great deal,Only some,Only some,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,45,Private,Divorced,High school,Below average,Independent,Not applicable,About right,Not applicable
1208,Only some,A great deal,Only some,A great deal,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,High school,Far below average,Independent,About right,Not applicable,Not applicable
1209,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,Not applicable,Private,Divorced,High school,Below average,Not str republican,Not applicable,About right,Not applicable
1210,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,Not applicable,Private,Never married,High school,Average,Strong republican,About right,Not applicable,Trump
1211,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,Not applicable,Government,Divorced,High school,Average,Not str republican,About right,Not applicable,Not applicable
1212,Only some,Only some,Hardly any,Hardly any,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,45,Private,Divorced,High school,Below average,Strong democrat,Too little,Not applicable,Clinton
1213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,40,Private,Never married,High school,Below average,"Ind,near dem",Not applicable,Too much,Clinton
1214,Only some,Only some,Hardly any,Only some,No,Yes,Not applicable,Agree,Favor,Oppose,40,Private,Never married,Bachelor,Above average,Not str democrat,Don't know,Not applicable,Not applicable
1215,Hardly any,Hardly any,Hardly any,Only some,Yes,No,Not applicable,Agree,Oppose,Oppose,25,Private,Divorced,High school,Below average,"Ind,near rep",Not applicable,About right,Not applicable
1216,Only some,Only some,Hardly any,Only some,No,Not applicable,Don't know,Not applicable,Not applicable,Favor,Not applicable,Government,Married,High school,Average,Not str democrat,Too much,Not applicable,Clinton
1217,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Favor,50,Private,Married,High school,Below average,Independent,Not applicable,Too little,Not applicable
1218,Only some,Only some,Only some,Only some,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,52,Government,Never married,High school,Average,"Ind,near dem",About right,Not applicable,Clinton
1219,A great deal,Hardly any,Only some,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Favor,Favor,55,Private,Married,High school,Below average,Independent,Not applicable,Too little,Not applicable
1220,No answer,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Strongly agree,Oppose,Favor,Not applicable,Private,Divorced,Bachelor,Average,Strong democrat,Too little,Not applicable,Clinton
1221,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Oppose,Favor,40,Private,Married,Bachelor,Below average,"Ind,near rep",Not applicable,About right,Other candidate (specify)
1222,Only some,Only some,Only some,Only some,Yes,Yes,Not applicable,Neither agree nor disagree,Oppose,Oppose,40,Private,Never married,High school,Average,Not str republican,Not applicable,Too little,Not applicable
1223,Only some,Only some,Hardly any,Hardly any,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,35,Private,Widowed,Lt high school,Below average,Not str democrat,Too little,Not applicable,Clinton
